pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,is_exoplanet
2458654.348,2.160344,1.828854,19357.99299,22.503541,,,13.2851,639.004,5780.0,4.32928,1.2,1
2458657.833,4.606184,3.121643,13793.03487,12.962219,,,11.9707,353.891,5670.0,4.3925,1.07,1
2458656.988,3.1316735,2.4579197,14915.69437,9.4995191,148.6544991,890.5622134,13.1686,263.609,4351.0,4.438,0.76701,1
2458656.633,3.180362,2.111521,21192.46332,13.446487,,,13.2887,535.383,5498.0,4.47934,0.92,1
2460147.379,2.9776446,2.962,13022.0,14.4339,758.324,1461.0,10.4293,197.996,5703.0,4.25824,1.22,1
2460176.993,3.9502008,4.444,13914.0,20.5357,1009.38,1570.0,9.6433,211.211,6153.0,4.18077,1.71,1
2458655.579,2.9776152,3.25697,43218.11168,26.88423,873.27,1386.5,15.7114,,5740.0,4.29219,1.28,0
2458655.394,3.5544026,2.0550535,10164.87534,13.200677,515.0014435,1214.987644,11.5803,290.198,5639.0,4.37172,1.11499,1
2459211.732,12.8379689,9.8464123,10539.01928,25.4886382,374.129,1225.0,11.7106,703.878,5765.0,4.34773,2.4494,0
2459036.473,3.9228016,1.8736007,31510.90049,13.3368705,91.167589,788.0973496,13.6699,300.67,4444.0,4.438,0.6983,1
2458654.25,0.6047392,1.0403847,1027.683348,1.8625587,528.0253155,1222.59731,11.1186,61.4592,4046.0,4.60963,0.580337,1
2458654.163,2.5495611,2.6173308,14921.40219,12.9171288,757.1284067,1337.864515,11.2474,248.46,5659.0,4.44653,1.03997,1
2458654.103,0.5182425,0.8565249,831.8920424,1.3485121,255.1405815,1019.329598,10.1165,20.373,3325.0,4.88693,0.390989,1
2458328.084,3.0440541,2.5984575,22236.01654,12.1086799,315.9871326,1075.318454,13.163,421.855,5523.0,4.52192,0.809868,1
2458653.973,1.3484961,2.4074261,18463.76367,15.8824638,2706.960623,1839.671304,12.2851,494.182,6346.0,4.38484,1.14759,1
2458630.772,9.30992,3.464,2220.0,14.2968,215.208,1067.0,9.4142,416.25,6907.0,3.63,3.09,0
2458626.39,1.15395,2.236,1550.0,5.48364,3534.3,2148.0,10.4613,240.901,6093.0,4.2,1.4,0
2458643.103,4.73703,3.902,2410.0,25.7144,53821.0,4243.0,10.3918,778.127,11600.0,4.13,2.48,0
2458326.127,2.76676,2.6872178,14947.43878,12.2867389,505.8840075,1209.574123,13.2366,513.011,5346.0,4.48823,0.984866,1
2458628.963,2.19296,4.586,4933.74,22.7769,31883.5,3722.0,10.0196,566.502,7009.8,3.6,2.95,0
2458601.381,1.1923,3.119,3730.0,30.666,40771.2,3958.0,9.0039,209.919,6534.0,3.95,2.04,0
2458601.338,11.47606,6.083,3050.0,,,,10.0067,1710.22,,,,0
2459307.936,0.9209526,1.8602735,360.8801529,5.7349089,32740.36294,3430.762244,10.11,490.288,6553.0,3.65,2.8908899,0
2459376.411,9.188506,2.492,460.0,2.16591,63.4589,786.0,8.7215,79.5561,5876.0,4.48,0.98,1
2459344.462,13.9028391,2.1264429,647.2701039,2.6136848,77.4841883,756.6987586,8.7215,79.5561,5876.0,4.48,0.983215,1
2458629.909,10.1826983,2.8275109,667.4752458,3.0538057,198.394783,957.1991659,8.7581,105.096,6153.0,4.34814,1.14582,1
2460140.221,6.441006,1.812,914.0,2.56374,87.8902,853.0,7.3661,23.606,4867.0,4.438,0.8,1
2458328.04,3.1743504,2.751086,15457.32476,14.9172256,718.9096994,1320.651823,11.6714,342.14,5943.0,4.42524,1.15706,1
2459044.495,20.0731588,3.8449215,1152.964546,4.0506906,69.3993155,736.1368293,10.5135,205.43,6033.0,4.37,1.14849,0
2459058.793,2.66903,1.548,3110.0,9.36823,429.86,1268.0,10.5891,262.794,5803.5,4.07,1.56,0
2458627.804,6.63371,2.122,1555.34,2.75375,22.9987,610.0,10.5652,58.0624,4138.1,4.54,0.63,0
2459367.034,341.2811281,6.303026,972.5797241,4.7531892,121.1597998,846.173434,7.5622,70.0154,6058.6,4.2,1.39203,0
2459336.074,4.0782392,4.8475616,6046.695969,13.898174,1619.008123,1617.82673,10.0068,281.314,6501.0,4.08,1.74836,1
2458655.549,7.14386,1.467,11146.4,22.1531,,,9.941,417.08,7860.0,4.15,1.91,0
2459083.352,7.04083,2.979,1580.0,8.46404,852.336,1505.0,9.7906,102.238,5317.0,4.49,0.91,0
2458326.105,2.1061569,1.4688934,12142.22385,13.086872,691.8428073,1308.041753,13.183,508.842,5380.0,4.4337,0.940697,1
2460146.99,2.4545635,2.321,4248.0,11.1276,2162.73,1899.0,9.6789,243.838,6610.0,4.15,1.64,0
2460131.89,11.4756978,0.808,8341.0,14.1098,11.4585,512.0,9.3871,312.461,7262.0,4.0,2.13,0
2458626.542,2.78186,2.456,490.0,4.92567,1323.21,1680.0,9.5162,292.085,6819.0,3.92,2.21,0
2460140.221,6.4410082,1.798,7076.0,4.59203,8.2114,471.0,9.66865,23.8853,3469.0,4.71,0.53,0
2458660.163,4.13812,3.911,5560.0,,613.964,1386.0,10.5084,,4898.4,,,0
2460069.774,2.4997996,2.865171,14621.20596,13.8516093,907.8624196,1399.989438,11.6035,302.448,5650.0,4.28867,1.13732,1
2458656.451,1.66226,3.321,6030.0,13.3343,7149.89,2561.0,10.4063,386.323,7301.0,4.23,1.64,0
2458658.611,4.07611,2.062,1454.18,,,,11.0605,338.644,,,,0
2460115.853,3.6245513,3.042,1299.0,4.3503,919.571,,10.2934,249.826,6317.0,,1.38,0
2460122.432,1.6268695,3.231,1502.0,2.36498,1946.23,1850.0,10.3579,97.8115,5034.0,4.64,0.73,0
2458657.631,2.32439,4.453,2704.18,,68217.5,4502.0,7.3163,177.741,8268.5,3.93,,0
2458663.152,13.5499,1.795,1180.0,6.24633,31.6652,660.0,9.7298,222.529,6209.0,4.09,1.63,0
2458659.069,4.43651,3.365,1520.0,19.9664,8233.41,2653.0,8.7823,247.414,7101.9,3.91,2.32,0
2458327.053,3.372877,2.63426,17163.60419,14.201803,615.165921,1270.187448,12.1893,448.637,6050.0,4.45061,1.02,1
2460144.137,8.34998,1.836,16680.0,11.1424,19.9348,588.0,10.1429,58.2609,4236.0,4.52,0.74,1
2460126.924,4.0686405,1.8373729,2650.095001,3.7548333,84.108766,772.378302,10.1429,58.2609,4236.0,4.52,0.741921,1
2460351.8,1.5502952,2.938,411.0,3.34528,10796.6,2839.0,9.2293,286.668,7851.0,4.17,1.86,0
2458684.235,1.80709,3.297,450.0,4.86242,7233.01,2569.0,9.11458,233.369,6244.0,3.84,2.2,0
2460333.438,18.6922101,7.765,11126.0,18.1458,282.175,1141.0,9.03609,170.732,6277.0,4.09,1.65,0
2460658.974,8.0277326,4.284,5705.0,9.06883,248.619,1106.0,9.02855,114.048,5962.7,4.38,1.15,1
2459612.448,12.5187279,5.38,2320.0,5.58857,626.362,1393.0,8.9361,84.5362,5729.0,4.47,0.98,1
2460366.027,6.2586065,3.201,813.0,2.51593,232.392,1087.0,8.9361,84.5362,5729.0,4.47,0.98,1
